Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE00000361,"BRNG THRST;1593339,KSB",101,GR stock in transit,5/1/2023,,1,EA,1,EA,0,PEN,5004954388,1,EG07-00000211,0,0,80099333,4/29/2023,Q001,APALACIOS,4502685536,310,C601,4/29/2023,,,
AE00000362,"BRNG THRST;1593311,KSB",101,GR stock in transit,5/1/2023,,1,EA,1,EA,0,PEN,5004954388,2,EG07-00000211,0,0,80099333,4/29/2023,Q001,APALACIOS,4502685536,320,C601,4/29/2023,,,
AE00001407,"PUMP,ROTARY,GEAR",101,GR stock in transit,5/1/2023,,1,EA,1,EA,0,PEN,5004955288,1,0001-003521,0,0,80099333,5/1/2023,Q001,APALACIOS,4502685536,510,C601,5/1/2023,,,
AE00001426,"WIPER;WB24401E02,WEIR",261,GI for order,5/1/2023,,-2,EA,-2,EA,-544.27,PEN,4908571412,2,HENRY PAUCARA,11187146,2,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,4007372734,,
AE00001428,"RING;WB24009Z23,WEIR",261,GI for order,5/1/2023,,-2,EA,-2,EA,-6107.58,PEN,4908571412,3,HENRY PAUCARA,11187146,3,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,4007372734,,
AE00001586,"SLV PRTCTV;WB24002R71,WEIR,VALVE,KNIFE",261,GI for order,5/1/2023,,-2,EA,-2,EA,-7492.32,PEN,4908571412,1,HENRY PAUCARA,11187146,1,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,4007372734,,
AE00001826,"VALVE;KGD-06,CLARKSON,KNIFE,DUCTILEIRON",641,TF to stck in trans.,5/1/2023,,-1,EA,-1,EA,0,PEN,4908572971,25,,0,0,80099571,5/1/2023,Q009,BTP_TM_PROD,4502692873,130,C601,5/1/2023,,,
AE00001826,"VALVE;KGD-06,CLARKSON,KNIFE,DUCTILEIRON",641,TF to stck in trans.,5/1/2023,,1,EA,1,EA,0,PEN,4908572971,26,,0,0,80099571,5/1/2023,,BTP_TM_PROD,4502692873,130,C601,5/1/2023,,,
AE00001906,"BLADE WIPER;WB24400S42,WEIR",261,GI for order,5/1/2023,,-1,EA,-1,EA,-909.59,PEN,4908571412,4,HENRY PAUCARA,11187146,4,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,4007372734,,
AE00002191,"DISC,ABRASIVE;66252843679,NORTON",261,GI for order,5/1/2023,,-100,EA,-100,EA,-357,PEN,4908571413,3,BRENDA BUSTAMANTE,8467782,14,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,4005240788,,
AE00003057,"BREAKER,CIRCUIT;5SY6506-7,SIEMENS",101,GR stock in transit,5/1/2023,,2,EA,2,EA,0,PEN,5004954376,1,0024-0000065,0,0,80099331,4/28/2023,Q001,APALACIOS,4502685525,230,C601,4/28/2023,,,
AE00003101,"FUSE;170M2666,BUSSMANN",101,GR stock in transit,5/1/2023,,4,EA,4,EA,0,PEN,5004955484,1,015-0326138,0,0,80099331,4/30/2023,Q001,APALACIOS,4502685525,170,C601,4/30/2023,,,
AE00003256,"PADLOCK;A1107LZ1YLW,MASTER LOCK COMPANY",261,GI for order,5/1/2023,,-50,EA,-50,EA,-2576.59,PEN,4908571413,5,BRENDA BUSTAMANTE,8467782,16,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,4005240788,,
AE00003265,"LOCK;481-S24,MASTER LOCK COMPANY",101,GR stock in transit,5/1/2023,,23,EA,23,EA,0,PEN,5004954346,1,015-0325995,0,0,80099331,4/28/2023,Q001,APALACIOS,4502685525,60,C601,4/28/2023,,,
AE00003539,"CLEANER;2650436,WD-40",261,GI for order,5/1/2023,,-10,EA,-10,EA,-410,PEN,4908571413,4,BRENDA BUSTAMANTE,8467782,15,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,4005240788,,
AE00003887,"JACKET,SAFETY;THERMAL,L,ORANGE&GREY",201,GI for cost center,5/1/2023,,-2,EA,-2,EA,-577.8,PEN,4908571223,1,YENNY ORTEGA,11482798,1,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00003890,"JACKET,SAFETY;THERMAL,XL,ORANGE&GREY",201,GI for cost center,5/1/2023,,-2,EA,-2,EA,-590.07,PEN,4908571223,2,YENNY ORTEGA,11482798,2,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00003925,"TROUSERS;THERMAL FOR MEN,32,STRAIGHT",201,GI for cost center,5/1/2023,,-2,EA,-2,EA,-226.56,PEN,4908571223,3,YENNY ORTEGA,11482798,3,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00003931,"TROUSERS;THERMAL FOR WOMEN,M,STRAIGHT",201,GI for cost center,5/1/2023,,-1,EA,-1,EA,-122.28,PEN,4908571365,1,YENNY ORTEGA,11494034,1,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00003948,"TROUSERS;NON THERMAL FOR MEN,SIZE 34",201,GI for cost center,5/1/2023,,-2,EA,-2,EA,-194.18,PEN,4908571223,4,YENNY ORTEGA,11482798,4,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00003988,"GLOVES,ELECTRICAL;GLE36 1-9,REGELTEX",101,GR stock in transit,5/1/2023,,28,PAA,28,PAA,0,PEN,5004954345,1,015-0326366,0,0,80099331,4/28/2023,Q001,APALACIOS,4502685525,180,C601,4/28/2023,,,
AE00003995,"GLOVES,GENERAL PURPOSE;STEX581-M,SHOWA",201,GI for cost center,5/1/2023,,-4,PAA,-4,PAA,-265.87,PEN,4908571223,5,YENNY ORTEGA,11482798,5,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00003999,"GLOVES,GENERAL PURPOSE;541-M,SHOWA",201,GI for cost center,5/1/2023,,-4,PAA,-4,PAA,-66.43,PEN,4908571223,6,YENNY ORTEGA,11482798,6,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00004024,"LENS,SAFETY EQUIPMENT;XV103,HONEYWELL",201,GI for cost center,5/1/2023,,-3,EA,-3,EA,-27.67,PEN,4908571223,7,YENNY ORTEGA,11482798,7,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00004025,"LENS,SAFETY EQUIPMENT;XV101,HONEYWELL",201,GI for cost center,5/1/2023,,-3,EA,-3,EA,-15.38,PEN,4908571223,8,YENNY ORTEGA,11482798,8,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00004063,"COAT;452201460188,HARDWORK;SKIM,L",201,GI for cost center,5/1/2023,,-2,EA,-2,EA,-221.03,PEN,4908571223,9,YENNY ORTEGA,11482798,9,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00004065,"COAT;452201460189,HARDWORK;XL",201,GI for cost center,5/1/2023,,-2,EA,-2,EA,-203.3,PEN,4908571223,10,YENNY ORTEGA,11482798,10,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE00004071,"SUNSCREEN;SUNBLOCK SPF90,NSOC64925,ISDIN",201,GI for cost center,5/1/2023,,-2,EA,-2,EA,-161.22,PEN,4908571223,11,YENNY ORTEGA,11482798,11,DELIVERY,4/30/2023,Q001,DCHINGA,,0,C601,4/30/2023,,CQ30103002,
AE0002219,"BLOCK,PILLOW;SNL 3056,SKF BEARINGS;SNL",641,TF to stck in trans.,5/1/2023,,2,EA,2,EA,0,PEN,4908572971,24,,0,0,80099571,5/1/2023,,BTP_TM_PROD,4502692873,120,C601,5/1/2023,,,
AE0002219,"BLOCK,PILLOW;SNL 3056,SKF BEARINGS;SNL",641,TF to stck in trans.,5/1/2023,,-2,EA,-2,EA,0,PEN,4908572971,23,,0,0,80099571,5/1/2023,Q009,BTP_TM_PROD,4502692873,120,C601,5/1/2023,,,
AE0002302,"TRANSMITTER,PRESSURE;PMP75-AMC1K21AGAAA",101,GR stock in transit,5/1/2023,,1,EA,1,EA,0,PEN,5004954347,1,T002-00000995,0,0,80099331,4/28/2023,Q001,APALACIOS,4502685525,160,C601,4/28/2023,,,
