Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE00000382,"BELT,V;TRANSMISSION,3VX560,1422MM,8MM",261,GI for order,8/1/2024,,-5,EA,-5,EA,-93.6,PEN,4911047944,1,BRENDA BUSTAMANTE,16265256,1,WH,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4011192376,,
AE00001472,"BOX STFG;TU18078MD21,WEIR",261,GI for order,8/1/2024,,-1,EA,-1,EA,-60315.77,PEN,4911047885,1,BRENDA BUSTAMANTE,15756311,4,WH,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4010950248,,
AE00001472,"BOX STFG;TU18078MD21,WEIR",261,GI for order,8/1/2024,,-1,EA,-1,EA,-60315.77,PEN,4911047884,1,BRENDA BUSTAMANTE,14837497,3,WH,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4010234164,,
AE00001495,"SEAL,OIL;1000201083,FLSMIDTH,RADIAL",101,GR stock in transit,8/1/2024,,1,EA,1,EA,0,PEN,5006424062,1,T004-00003685,0,0,80243054,8/1/2024,Q001,BQUISPE,4503357383,240,C601,8/1/2024,,,
AE00001505,"SEAL;WS10015S42,WEIR,UPPER,WS,10IN",261,GI for order,8/1/2024,,-1,EA,-1,EA,-771.73,PEN,4911053531,3,HENRY PAUCARA,16710176,3,WH,7/31/2024,Q001,DCHINGA,,0,C601,7/31/2024,4011447805,,
AE00001585,"SLV PRTCTV;WB06CS101G003R55,WEIR",261,GI for order,8/1/2024,,-2,EA,-2,EA,-1434,PEN,4911053531,2,HENRY PAUCARA,16710176,2,WH,7/31/2024,Q001,DCHINGA,,0,C601,7/31/2024,4011447805,,
AE00001726,"VLV SLURY;10WBRSUAUSPQ0001,WEIR,10IN,WB",261,GI for order,8/1/2024,,-1,EA,-1,EA,-38270.89,PEN,4911053531,1,HENRY PAUCARA,16710176,1,WH,7/31/2024,Q001,DCHINGA,,0,C601,7/31/2024,4011447805,,
AE00001763,"VALVE SLND;259002744545,WEIR",261,GI for order,8/1/2024,,-4,EA,-4,EA,-6112.08,PEN,4911041659,3,BRENDA BUSTAMANTE,16710809,3,DELIVERY,7/29/2024,Q001,DCHINGA,,0,C601,7/29/2024,4011448329,,
AE00001804,"VALVE GATE;259032722545,WEIR",261,GI for order,8/1/2024,,-4,EA,-4,EA,-5495.87,PEN,4911041659,2,BRENDA BUSTAMANTE,16710809,2,DELIVERY,7/29/2024,Q001,DCHINGA,,0,C601,7/29/2024,4011448329,,
AE00001897,"WASHER;1000135521,FLSMIDTH,NUT,CONICAL",101,GR goods receipt,8/1/2024,,4,EA,4,EA,5671.43,PEN,5006427674,1,,0,0,T004-00003854,7/31/2024,Q009,RALEGRIA,4503290567,20,C601,8/1/2024,,,
AE00001981,"CLAY;ENBSX30KG,ENSYS;REJYRA,BAG,30KG",261,GI for order,8/1/2024,,-1,EA,-1,EA,-39.37,PEN,4911043185,3,YULAY HIBBARD,16637168,3,DELIVERY,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4011419201,,
AE00002005,"CONNECTOR,ELECTRICAL STUD;GAR6426,BURNDY",261,GI for order,8/1/2024,,-3,EA,-3,EA,-205.66,PEN,4911043184,2,YULAY HIBBARD,16637165,2,DELIVERY,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4011419198,,
AE00002005,"CONNECTOR,ELECTRICAL STUD;GAR6426,BURNDY",261,GI for order,8/1/2024,,-1,EA,-1,EA,-68.55,PEN,4911043185,2,YULAY HIBBARD,16637168,2,DELIVERY,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4011419201,,
AE00003255,"PADLOCK;A1107LZ1RED,MASTER LOCK COMPANY",201,GI for cost center,8/1/2024,,-12,EA,-12,EA,0,PEN,4911047584,2,WILBERT MOLINA,16790522,3,DELIVERY,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,,CQ10001001,
AE00003404,"FUSE;GMA-1-R,BUSSMANN;250VAC,1A",101,GR goods receipt,8/1/2024,,120,EA,120,EA,525.38,PEN,5006423213,1,,0,0,T315-040037,7/31/2024,Q009,RALEGRIA,4503332676,40,C601,7/31/2024,,,
AE00003432,"BOX;ELCRP,ELCOPE;CONNECTION,PP,320MM",261,GI for order,8/1/2024,,-1,EA,-1,EA,-45.69,PEN,4911043185,1,YULAY HIBBARD,16637168,1,DELIVERY,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4011419201,,
AE00003432,"BOX;ELCRP,ELCOPE;CONNECTION,PP,320MM",261,GI for order,8/1/2024,,-3,EA,-3,EA,-137.07,PEN,4911043184,1,YULAY HIBBARD,16637165,1,DELIVERY,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4011419198,,
AE00003433,"BRACKET;ENBS2X2X5 DER,ENSYS",101,GR stock in transit,8/1/2024,,2,EA,2,EA,0,PEN,5006427805,1,EG07-00001415,0,0,0080243079-B905,8/1/2024,Q001,EDPORTAL,4503357559,420,C601,8/2/2024,,,
AE00003502,"TAPE;ANTI-SLIP REFLECTIVE,2INX5M,PVC,3M",261,GI for order,8/1/2024,,-10,EA,-10,EA,-4566.79,PEN,4911047945,1,BRENDA BUSTAMANTE,16745345,1,WH,7/30/2024,Q001,DCHINGA,,0,C601,7/30/2024,4011463722,,
AE00003610,"PAINT;ABRO,048C,ABRO",101,GR goods receipt,8/1/2024,,28,EA,28,EA,216.72,PEN,5006418903,1,,0,0,T001-00012655,8/1/2024,Q011,GKUONG,4503340470,10,C601,7/30/2024,,,
AE00003887,"JACKET,SAFETY;THERMAL,L,ORANGE&GREY",201,GI pipel.for cst cnt,8/1/2024,P,-2,EA,-2,EA,-431.75,PEN,4911055755,11,SOLNAGE FERNANDEZ,16830428,16,DELIVERY,8/1/2024,,ELRAMOS,,0,C601,8/1/2024,,CQ10001001,
AE00003887,"JACKET,SAFETY;THERMAL,L,ORANGE&GREY",201,GI pipel.for cst cnt,8/1/2024,P,-2,EA,-2,EA,-431.75,PEN,4911055758,10,JASER VALENCIA,16809960,12,DELIVERY,8/1/2024,,ELRAMOS,,0,C601,8/1/2024,,CQ10101002,
AE00003888,"JCKT SFTY;THERMAL,M,ORANGE&GREY",201,GI pipel.for cst cnt,8/1/2024,P,-7,EA,-7,EA,-1511.13,PEN,4911055758,9,JASER VALENCIA,16809960,11,DELIVERY,8/1/2024,,ELRAMOS,,0,C601,8/1/2024,,CQ10101002,
