Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE00000423,"BELT V;BELT,TRANSMISSION,5VX1060,5V",101,GR goods receipt,8/1/2025,,32,EA,32,EA,2088.01,PEN,5007463111,1,,0,0,T006-0011095,7/30/2025,Q009,RALEGRIA,4503689027,10,C601,7/30/2025,,,
AE00001658,"SUPRT;30016839,HAVER & BOECKER",101,GR stock in transit,8/1/2025,,64,EA,64,EA,0,PEN,5007506434,1,T012-51932,0,0,T012-51932,7/26/2025,Q009,SBARTOLOME,4503883849,10,C601,8/14/2025,,,
AE00001658,"SUPRT;30016839,HAVER & BOECKER",101,GR goods receipt,8/1/2025,,64,EA,64,EA,4133.38,PEN,5007476939,1,,0,0,205033,8/1/2025,Q015,STRUJILLO,4503753597,10,C601,8/5/2025,,,
AE00002192,"DISC ABRSV;66252846559,NORTON",261,GI for order,8/1/2025,,-100,EA,-100,EA,-1965.07,PEN,4912690638,1,EARAUCO,16799207,3,OTIF,8/1/2025,Q001,NECONDORI,,0,C601,8/1/2025,4011491103,,
AE00003558,"PAPER BLTTNG;30242847,KIMBERLY-CLARK",261,GI for order,8/1/2025,,-10,EA,-10,EA,-354.94,PEN,4912690715,3,lizbeth mamani,20712418,3,DELIVERY ERNESTO,8/1/2025,Q001,ECALLALLA,,0,C601,8/2/2025,4014272355,,
AE00003598,"TAPE;TEMFLEX 1700,BLACK,3/4INX18M,3M",261,GI for order,8/1/2025,,-24,EA,-24,EA,-171.92,PEN,4912683645,1,BRENDA,20749147,1,INSTRUMENTACION,7/30/2025,Q001,AQUISURUCO,,0,C601,7/30/2025,4014303729,,
AE00003604,"STRAP,TIEDOWN ELECTRICAL;HT-300x4.8-UV",261,GI for order,8/1/2025,,-24,EA,-24,EA,-103.86,PEN,4912683645,3,BRENDA,20749147,3,INSTRUMENTACION,7/30/2025,Q001,AQUISURUCO,,0,C601,7/30/2025,4014303729,,
AE00003608,"PAINT;ABRO,011C,ABRO",101,GR goods receipt,8/1/2025,,54,EA,54,EA,417.96,PEN,5007466779,1,,0,0,T001-00017486,8/1/2025,Q011,SZEBALLOS,4503852507,10,C601,7/31/2025,,,
AE00003610,"PAINT;ABRO,048C,ABRO",101,GR goods receipt,8/1/2025,,17,EA,17,EA,131.58,PEN,5007466777,1,,0,0,T001-00017489,8/1/2025,Q011,SZEBALLOS,4503836400,10,C601,7/31/2025,,,
AE00003610,"PAINT;ABRO,048C,ABRO",101,GR goods receipt,8/1/2025,,24,EA,24,EA,185.76,PEN,5007466778,1,,0,0,T001-00017487,8/1/2025,Q011,SZEBALLOS,4503852510,10,C601,7/31/2025,,,
