Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE00000554,"CABLE,ELECTRICAL;14AWG,CROSS,300V,PVC",261,GI for order,5/1/2024,,-1,EA,-1,EA,-1378.97,PEN,4910595749,1,Nordith,15252746,1,DELIVERY,4/30/2024,Q001,MELEFTERIU,,0,C601,4/30/2024,4010573278,,
AE00000599,"CABLE,ELECTRICAL;14AWG,PVC,450-750V,PVC",261,GI for order,5/1/2024,,-1,EA,-1,EA,-1436.94,PEN,4910595749,3,Nordith,15252746,3,DELIVERY,4/30/2024,Q001,MELEFTERIU,,0,C601,4/30/2024,4010573278,,
AE00000600,"CABLE,ELECTRICAL;14AWG,PVC,450-750V,PVC",261,GI for order,5/1/2024,,-1,EA,-1,EA,-153.31,PEN,4910595749,4,Nordith,15252746,4,DELIVERY,4/30/2024,Q001,MELEFTERIU,,0,C601,4/30/2024,4010573278,,
AE00000601,"CABLE,ELECTRICAL;14AWG,PVC,450-750V,PVC",261,GI for order,5/1/2024,,-1,EA,-1,EA,-153.31,PEN,4910595749,2,Nordith,15252746,2,DELIVERY,4/30/2024,Q001,MELEFTERIU,,0,C601,4/30/2024,4010573278,,
AE00001051,"HOSE ASSEMBLY;1000174871,FLSMIDTH,ABB",261,GI for order,5/1/2024,,-1,EA,-1,EA,-819.84,PEN,4910595799,1,NORDITH,13592716,154,WH,4/30/2024,Q001,MELEFTERIU,,0,C601,4/30/2024,4009224782,,
AE00003864,"BOOTS,SAFETY;40CM,RUBBER,36CM LG",201,GI for cost center,5/1/2024,,-2,PAA,-2,PAA,-267.63,PEN,4910598124,1,Ruben Rojas,15526558,3,DELIVERY,5/1/2024,Q001,AROSAS,,0,C601,5/1/2024,,CQ10001001,
AE00003865,"BOOTS,SAFETY;41CM,RUBBER,36CM LG",201,GI for cost center,5/1/2024,,-2,PAA,-2,PAA,-192.58,PEN,4910598124,2,Ruben Rojas,15526558,4,DELIVERY,5/1/2024,Q001,AROSAS,,0,C601,5/1/2024,,CQ10001001,
AE00003866,"BOOTS,SAFETY;42CM,RUBBER,36CM LG",201,GI for cost center,5/1/2024,,-3,PAA,-3,PAA,-265.3,PEN,4910598124,3,Ruben Rojas,15526558,5,DELIVERY,5/1/2024,Q001,AROSAS,,0,C601,5/1/2024,,CQ10001001,
AE00003867,"BOOTS,SAFETY;43CM,RUBBER,36CM LG",201,GI for cost center,5/1/2024,,-2,PAA,-2,PAA,-150.6,PEN,4910598124,4,Ruben Rojas,15526558,6,DELIVERY,5/1/2024,Q001,AROSAS,,0,C601,5/1/2024,,CQ10001001,
AE00003974,"GLOVES,CHEMICAL;727-S,SHOWA",201,GI cst cnt.fm consgt,5/1/2024,K,-4,PAA,-4,PAA,-29.87,PEN,4910596913,3,Ruben Rojas Sanchez,15516136,6,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
AE00003975,"GLOVES,CHEMICAL;727-M,SHOWA",201,GI for cost center,5/1/2024,,-5,PAA,-5,PAA,-37.11,PEN,4910596915,2,R,15516136,4,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
AE00003976,"GLOVES,CHEMICAL;727-L,SHOWA",201,GI for cost center,5/1/2024,,-5,PAA,-5,PAA,-34.18,PEN,4910596915,3,R,15516136,5,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
AE00003977,"GLOVES,CHEMICAL;7540-XL,SHOWA",201,GI cst cnt.fm consgt,5/1/2024,K,-200,PAA,-200,PAA,-19416.8,PEN,4910596913,4,Ruben Rojas Sanchez,15516136,7,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
AE00003978,"GLOVES,CHEMICAL;7500PFȘ,SHOWA",201,GI cst cnt.fm consgt,5/1/2024,K,-100,PAA,-100,PAA,-9708.4,PEN,4910596913,5,Ruben Rojas Sanchez,15516136,8,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
AE00003979,"GLOVES,CHEMICAL;7540-M,SHOWA",201,GI cst cnt.fm consgt,5/1/2024,K,-250,PAA,-250,PAA,-24271,PEN,4910596913,6,Ruben Rojas Sanchez,15516136,9,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
AE00003980,"GLOVES,CHEMICAL;7540-L,SHOWA",201,GI for cost center,5/1/2024,,-200,PAA,-200,PAA,-17133.56,PEN,4910596915,4,R,15516136,10,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
AE00003981,"GLOVES,CHEMICAL;5122 - L,SHOWA",201,GI for cost center,5/1/2024,,-5,PAA,-5,PAA,-0.2,PEN,4910596915,5,R,15516136,11,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
AE00004006,"GLOVES,GENERAL PURPOSE;BP-SIZE 10",201,GI cst cnt.fm consgt,5/1/2024,K,-20,PAA,-20,PAA,-224.04,PEN,4910596913,7,Ruben Rojas Sanchez,15516136,12,DELIVERY,4/30/2024,Q001,ELRAMOS,,0,C601,4/30/2024,,CQ10001001,
