Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE00000517,"BOLT,MACHINE;1000008554,FLSMIDTH,HEX",101,GR goods receipt,9/1/2024,,8,EA,8,EA,124.2,PEN,5006514907,1,,0,0,T004-00004314,8/31/2024,Q009,RALEGRIA,4503344571,20,C601,8/31/2024,,,
AE00000893,"ELECTRD WELDG;INOX-29/9-5/32IN,OERLIKON",261,GI for order,9/1/2024,,-1,BOX,-1,BOX,-911.96,PEN,4911182268,8,NORDITH D,14833631,8,WH,8/31/2024,Q001,LARIAS,,0,C601,8/31/2024,4010231051,,
AE00001051,"HOSE ASSEMBLY;1000174871,FLSMIDTH,ABB",101,GR goods receipt,9/1/2024,,1,EA,1,EA,4977.23,PEN,5006514992,1,,0,0,T004-00004125,8/31/2024,Q009,RALEGRIA,4503273369,30,C601,8/31/2024,,,
AE00001900,"WASHER,LOCK;1000004202,FLSMIDTH,SPRING",101,GR goods receipt,9/1/2024,,36,EA,36,EA,1155.6,PEN,5006514981,1,,0,0,T004-00004128,8/31/2024,Q009,RALEGRIA,4503324520,10,C601,8/31/2024,,,
AE00003424,"ROD;AR-A 0.630,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,8,EA,8,EA,0,PEN,5006515062,3,BOX-995,0,0,80260616,9/1/2024,Q001,AQUISURUCO,4503407032,30,C601,9/1/2024,,,
AE00003456,"WASHER;J1080,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,42,EA,42,EA,0,PEN,5006515062,1,BOX-995,0,0,80260616,9/1/2024,Q001,AQUISURUCO,4503407032,10,C601,9/1/2024,,,
AE00003463,"ROD;J7428,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,16,EA,16,EA,0,PEN,5006515062,2,BOX-995,0,0,80260616,9/1/2024,Q001,AQUISURUCO,4503407032,20,C601,9/1/2024,,,
AE00003478,"BOLT;J8916,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,29,EA,29,EA,0,PEN,5006515062,4,BOX-995,0,0,80260616,9/1/2024,Q001,AQUISURUCO,4503407032,40,C601,9/1/2024,,,
AE00003485,"INSLTR;L506,MACLEAN POWER SYSTEM",101,GR goods receipt,9/1/2024,,23,EA,23,EA,1086.75,PEN,5006514988,1,,0,0,EG07-00001598,8/31/2024,Q009,RALEGRIA,4503307592,150,C601,8/31/2024,,,
AE00003502,"TAPE;ANTI-SLIP REFLECTIVE,2INX5M,PVC,3M",101,GR stock in transit,9/1/2024,,8,EA,8,EA,0,PEN,5006510618,1,t315-041953,0,0,80258646,8/29/2024,Q001,AQUISURUCO,4503401500,10,C601,8/29/2024,,,
AE00003516,"BOLT;J8920,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,21,EA,21,EA,0,PEN,5006515256,4,BOX-995,0,0,80260620,9/1/2024,Q001,AQUISURUCO,4503407117,40,C601,9/1/2024,,,
AE00003538,"ROPE;242152,FIXSER",261,GI for order,9/1/2024,,-5,EA,-5,EA,-217.2,PEN,4911179542,3,JASER VALENCIA,17061902,3,DELIVERY,8/30/2024,Q001,DCHINGA,,0,C601,8/30/2024,4011657226,,
AE00003562,"LUBRICANT;11303,WD-40",261,GI for order,9/1/2024,,-10,EA,-10,EA,-240.2,PEN,4911182268,9,NORDITH D,14833631,10,WH,8/31/2024,Q001,LARIAS,,0,C601,8/31/2024,4010231051,,
AE00003608,"PAINT;ABRO,011C,ABRO",101,GR goods receipt,9/1/2024,,25,EA,25,EA,193.5,PEN,5006515005,1,,0,0,T001-00013177,9/1/2024,Q011,GKUONG,4503395185,20,C601,8/31/2024,,,
AE00003842,"PLLT MTRL HNDLG;GENERAL PURPOSE,1.1X1.1M",261,GI for order,9/1/2024,,-10,EA,-10,EA,-1403.04,PEN,4911179542,1,JASER VALENCIA,17061902,1,DELIVERY,8/30/2024,Q001,DCHINGA,,0,C601,8/30/2024,4011657226,,
AE00003978,"GLOVES,CHEMICAL;7500PFȘ,SHOWA",201,GI pipel.for cst cnt,9/1/2024,P,-200,PAA,-200,PAA,-19463.6,PEN,4911177137,2,JUAN PEDRAZA,17176895,2,DELIVERY,8/30/2024,,ELRAMOS,,0,C601,8/30/2024,,CQ10001001,
AE00004034,"OVERALL,GENERAL PURPOSE;EMN428-L",201,GI pipel.for cst cnt,9/1/2024,P,-100,EA,-100,EA,-1497.2,PEN,4911177137,4,JUAN PEDRAZA,17176895,4,DELIVERY,8/30/2024,,ELRAMOS,,0,C601,8/30/2024,,CQ10001001,
AE00004035,"OVERALL,GENERAL PURPOSE;EMN428-M",201,GI pipel.for cst cnt,9/1/2024,P,-100,EA,-100,EA,-1497.2,PEN,4911177137,3,JUAN PEDRAZA,17176895,3,DELIVERY,8/30/2024,,ELRAMOS,,0,C601,8/30/2024,,CQ10001001,
AE00004037,"PLUG,EAR;1271,3M",201,GI pipel.for cst cnt,9/1/2024,P,-20,EA,-20,EA,-224.58,PEN,4911177137,1,JUAN PEDRAZA,17176895,1,DELIVERY,8/30/2024,,ELRAMOS,,0,C601,8/30/2024,,CQ10001001,
AE00004046,"SHOES SFTY;DAMA,TALLA 36,CAFE,CUERO",201,GI pipel.for cst cnt,9/1/2024,P,-1,PAA,-1,PAA,-632.57,PEN,4911177137,7,JUAN PEDRAZA,17176895,7,DELIVERY,8/30/2024,,ELRAMOS,,0,C601,8/30/2024,,CQ10001001,
AE00004055,"SHOES SFTY;VARON,TALLA 41,CAFE,CUERO",201,GI pipel.for cst cnt,9/1/2024,P,-1,PAA,-1,PAA,-636.27,PEN,4911177137,6,JUAN PEDRAZA,17176895,6,DELIVERY,8/30/2024,,ELRAMOS,,0,C601,8/30/2024,,CQ10001001,
AE00004071,"SUNSCREEN;SUNBLOCK SPF90,NSOC64925,ISDIN",201,GI pipel.for cst cnt,9/1/2024,P,-25,EA,-25,EA,-2152.23,PEN,4911177137,5,JUAN PEDRAZA,17176895,5,DELIVERY,8/30/2024,,ELRAMOS,,0,C601,8/30/2024,,CQ10001001,
AE00004071,"SUNSCREEN;SUNBLOCK SPF90,NSOC64925,ISDIN",201,GI pipel.for cst cnt,9/1/2024,P,-6,EA,-6,EA,-517.5,PEN,4911183967,1,YENNY ORTEGA,17198788,1,DELIVERY,9/1/2024,,ELRAMOS,,0,C601,9/1/2024,,CQ30103002,
AE0002371,"LBL PRNTR;3*2*2500;NA,POLYOLEFIN,3*2IN,3",101,GR stock in transit,9/1/2024,,80,ROL,80,ROL,0,PEN,5006515050,1,EG07-00001101,0,0,80259389,9/1/2024,Q001,BQUISPE,4503403465,260,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30130,KG,30130,KG,15962.87,PEN,5006514946,1,SILO DE CAL # 02,0,0,G010-00076627,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30150,KG,30150,KG,15973.47,PEN,5006514947,1,SILO DE CAL # 01,0,0,G010-00076628,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30210,KG,30210,KG,16005.26,PEN,5006514948,1,SILO DE CAL # 01,0,0,G010-00076765,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30230,KG,30230,KG,16015.85,PEN,5006514949,1,SILO DE CAL # 02,0,0,G010-00076766,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30910,KG,30910,KG,16376.12,PEN,5006515090,1,SILO DE CAL # 01,0,0,G010-00076769,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,29990,KG,29990,KG,15888.7,PEN,5006515091,1,SILO DE CAL # 01,0,0,G010-00076770,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30420,KG,30420,KG,16116.52,PEN,5006515092,1,SILO DE CAL # 02,0,0,G010-00076771,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30700,KG,30700,KG,16264.86,PEN,5006515093,1,SILO DE CAL # 01,0,0,G010-00076773,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31420,KG,31420,KG,16646.32,PEN,5006515094,1,SILO DE CAL # 02,0,0,G010-00076776,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30690,KG,30690,KG,16259.56,PEN,5006515095,1,SILO DE CAL # 01,0,0,G010-00076777,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30710,KG,30710,KG,16270.16,PEN,5006515096,1,SILO DE CAL # 02,0,0,G010-00076778,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31010,KG,31010,KG,16429.1,PEN,5006515097,1,SILO DE CAL # 02,0,0,G010-00076830,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30470,KG,30470,KG,16143.01,PEN,5006515098,1,SILO DE CAL # 01,0,0,G010-00076832,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31090,KG,31090,KG,16471.48,PEN,5006515099,1,SILO DE CAL # 02,0,0,G010-00076869,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30240,KG,30240,KG,16021.15,PEN,5006515100,1,SILO DE CAL # 01,0,0,G010-00076871,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,29840,KG,29840,KG,15809.23,PEN,5006515101,1,SILO DE CAL # 01,0,0,G010-00076873,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30570,KG,30570,KG,16195.99,PEN,5006514952,1,SILO DE CAL # 02,0,0,G010-00076822,8/31/2024,Q004,AASTETEM,4503346504,10,C601,8/31/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31910,KG,31910,KG,16905.92,PEN,5006514951,1,SILO DE CAL # 01,0,0,G010-00076820,8/31/2024,Q004,AASTETEM,4503346504,10,C601,8/31/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30820,KG,30820,KG,16328.44,PEN,5006514950,1,SILO DE CAL # 02,0,0,G010-00076819,8/31/2024,Q004,AASTETEM,4503346504,10,C601,8/31/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30490,KG,30490,KG,16153.6,PEN,5006514809,1,SILO DE CAL # 01,0,0,G010-00076817,8/31/2024,Q004,AASTETEM,4503346504,10,C601,8/31/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30880,KG,30880,KG,16360.22,PEN,5006514808,1,SILO DE CAL # 02,0,0,G010-00076809,8/31/2024,Q004,AASTETEM,4503346504,10,C601,8/31/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30760,KG,30760,KG,16296.65,PEN,5006510964,1,SILO DE CAL # 02,0,0,G010-00076328,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30590,KG,30590,KG,16206.58,PEN,5006510965,1,SILO DE CAL # 01,0,0,G010-00076329,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30310,KG,30310,KG,16058.24,PEN,5006510966,1,SILO DE CAL # 01,0,0,G010-00076337,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30060,KG,30060,KG,15925.79,PEN,5006510967,1,SILO DE CAL # 02,0,0,G010-00076238,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31280,KG,31280,KG,16572.14,PEN,5006510968,1,SILO DE CAL # 01,0,0,G010-00076263,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30500,KG,30500,KG,16158.9,PEN,5006510969,1,SILO DE CAL # 02,0,0,G010-00076267,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30380,KG,30380,KG,16095.32,PEN,5006511070,1,SILO DE CAL # 01,0,0,G010-00076270,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30880,KG,30880,KG,16360.22,PEN,5006511071,1,SILO DE CAL # 02,0,0,G010-00076271,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,29870,KG,29870,KG,15825.13,PEN,5006511072,1,SILO DE CAL # 02,0,0,G010-00076275,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30350,KG,30350,KG,16079.43,PEN,5006511073,1,SILO DE CAL # 02,0,0,G010-00076278,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30200,KG,30200,KG,15999.96,PEN,5006511074,1,SILO DE CAL # 01,0,0,G010-00076284,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30630,KG,30630,KG,16227.77,PEN,5006511075,1,SILO DE CAL # 02,0,0,G010-00076336,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30360,KG,30360,KG,16084.73,PEN,5006511076,1,SILO DE CAL # 02,0,0,G010-00076381,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31140,KG,31140,KG,16497.97,PEN,5006511125,1,SILO DE CAL # 01,0,0,G010-00076345,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31390,KG,31390,KG,16630.42,PEN,5006511126,1,SILO DE CAL # 02,0,0,G010-00076346,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30200,KG,30200,KG,15999.96,PEN,5006511354,1,SILO DE CAL # 01,0,0,G010-00076452,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30360,KG,30360,KG,16084.73,PEN,5006511127,1,SILO DE CAL # 01,0,0,G010-00076348,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30480,KG,30480,KG,16148.3,PEN,5006511353,1,SILO DE CAL # 02,0,0,G010-00076451,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30600,KG,30600,KG,16211.88,PEN,5006511352,1,SILO DE CAL # 01,0,0,G010-00076450,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30720,KG,30720,KG,16275.46,PEN,5006511351,1,SILO DE CAL # 02,0,0,G010-00076449,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31190,KG,31190,KG,16524.46,PEN,5006511350,1,SILO DE CAL # 02,0,0,G010-00076446,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31040,KG,31040,KG,16444.99,PEN,5006511209,1,SILO DE CAL # 01,0,0,G010-00076445,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31110,KG,31110,KG,16482.08,PEN,5006511208,1,SILO DE CAL # 02,0,0,G010-00076444,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30320,KG,30320,KG,16063.54,PEN,5006511207,1,SILO DE CAL # 01,0,0,G010-00076437,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30140,KG,30140,KG,15968.17,PEN,5006511206,1,SILO DE CAL # 01,0,0,G010-00076435,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,29950,KG,29950,KG,15867.51,PEN,5006511128,1,SILO DE CAL # 02,0,0,G010-00076352,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30880,KG,30880,KG,16360.22,PEN,5006511205,1,SILO DE CAL # 02,0,0,G010-00076434,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30470,KG,30470,KG,16143.01,PEN,5006511204,1,SILO DE CAL # 01,0,0,G010-00076347,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30040,KG,30040,KG,15915.19,PEN,5006511202,1,SILO DE CAL # 02,0,0,G010-00076509,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30410,KG,30410,KG,16111.22,PEN,5006511201,1,SILO DE CAL # 01,0,0,G010-00076495,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30520,KG,30520,KG,16169.5,PEN,5006511200,1,SILO DE CAL # 01,0,0,G010-00076493,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31310,KG,31310,KG,16588.04,PEN,5006511129,1,SILO DE CAL # 02,0,0,G010-00076354,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31240,KG,31240,KG,16550.95,PEN,5006511179,1,SILO DE CAL # 02,0,0,G010-00076482,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30130,KG,30130,KG,15962.87,PEN,5006511178,1,SILO DE CAL # 02,0,0,G010-00076480,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30740,KG,30740,KG,16286.05,PEN,5006511177,1,SILO DE CAL # 01,0,0,G010-00076475,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30330,KG,30330,KG,16068.83,PEN,5006511170,1,SILO DE CAL # 01,0,0,G010-00076357,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30600,KG,30600,KG,16211.88,PEN,5006511176,1,SILO DE CAL # 02,0,0,G010-00076473,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30300,KG,30300,KG,16052.94,PEN,5006511175,1,SILO DE CAL # 01,0,0,G010-00076432,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31040,KG,31040,KG,16444.99,PEN,5006515107,1,SILO DE CAL # 01,0,0,G010-00076893,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30420,KG,30420,KG,16116.52,PEN,5006511174,1,SILO DE CAL # 02,0,0,G010-00076426,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31190,KG,31190,KG,16524.46,PEN,5006511173,1,SILO DE CAL # 01,0,0,G010-00076425,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30390,KG,30390,KG,16100.62,PEN,5006515106,1,SILO DE CAL # 02,0,0,G010-00076891,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30520,KG,30520,KG,16169.5,PEN,5006511172,1,SILO DE CAL # 02,0,0,G010-00076423,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30680,KG,30680,KG,16254.26,PEN,5006515105,1,SILO DE CAL # 01,0,0,G010-00076881,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30820,KG,30820,KG,16328.44,PEN,5006511171,1,SILO DE CAL # 01,0,0,G010-00076359,8/30/2024,Q004,AASTETEM,4503346504,10,C601,8/30/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30810,KG,30810,KG,16323.14,PEN,5006515104,1,SILO DE CAL # 02,0,0,G010-00076879,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,31520,KG,31520,KG,16699.3,PEN,5006515103,1,SILO DE CAL # 01,0,0,G010-00076878,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30140,KG,30140,KG,15968.17,PEN,5006515102,1,SILO DE CAL # 01,0,0,G010-00076875,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,9/1/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30900,KG,30900,KG,16370.82,PEN,5006514734,1,SILO DE CAL # 02,0,0,G010-00076692,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,8/31/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30850,KG,30850,KG,16344.33,PEN,5006514735,1,SILO DE CAL # 01,0,0,G010-00076693,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,8/31/2024,,,
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,9/1/2024,,30790,KG,30790,KG,16312.54,PEN,5006514736,1,SILO DE CAL # 01,0,0,G010-00076696,9/1/2024,Q004,WQUISPE1,4503346504,10,C601,8/31/2024,,,
